Fecha,Cuenta,Categoría,Subcategorías,Nota,COP,Ingreso/Gasto,Descripción,Importe,Moneda,Cuenta
24/09/2026 14:22:07,Banco Principal,Variables,Mercado,Fruver,51000,Gasto,,51000.0,COP,51000
24/09/2026 11:54:56,Fondo de inversión,Intereses,,Rendimientos,46500,Ingreso,,46500.0,COP,46500
23/09/2026 18:40:59,Efectivo,Variables,Vida social,Cine,150800,Gasto,,150800.0,COP,150800
22/09/2026 16:11:45,Tarjeta Visa,Variables,Mercado,Fruver,84800,Gasto,,84800.0,COP,84800
16/09/2026 19:33:35,Banco Principal,Efectivo,,Retiro cajero,200000,Dinero gastado,,200000.0,COP,200000
15/09/2026 19:54:48,Banco Principal,Fondo de inversión,,Ahorro mensual,800000,Dinero gastado,,800000.0,COP,800000
15/09/2026 09:25:09,Banco Principal,Tarjeta Visa,,Pago tarjeta,946700,Dinero gastado,,946700.0,COP,946700
14/09/2026 18:36:56,Tarjeta Visa,Fijos,Seguros,Seguro de salud,210000,Gasto,,210000.0,COP,210000
14/09/2026 10:24:02,Efectivo,Variables,Hogar,Ferretería,103400,Gasto,,103400.0,COP,103400
12/09/2026 13:16:01,Banco Principal,Fijos,Servicios,Internet,95000,Gasto,,95000.0,COP,95000
12/09/2026 10:56:06,Efectivo,Variables,Comer afuera,Almuerzo,49900,Gasto,,49900.0,COP,49900
10/09/2026 18:18:56,Banco Principal,Fijos,Servicios,Energía y agua,257400,Gasto,,257400.0,COP,257400
08/09/2026 12:02:39,Efectivo,Variables,Mercado,Fruver,89700,Gasto,,89700.0,COP,89700
07/09/2026 13:08:00,Tarjeta Visa,Variables,Mercado,"Mercado, aseo",220500,Gasto,,220500.0,COP,220500
05/09/2026 20:58:06,Banco Principal,Fijos,Arriendo,Arriendo apartamento,1800000,Gasto,,1800000.0,COP,1800000
04/09/2026 10:07:31,Tarjeta Visa,Variables,Comer afuera,Pizza,40500,Gasto,,40500.0,COP,40500
03/09/2026 13:52:39,Efectivo,Variables,Vida social,Concierto,65400,Gasto,,65400.0,COP,65400
01/09/2026 18:57:36,Banco Principal,Salario,,Salario,6500000,Ingreso,,6500000.0,COP,6500000
28/08/2026 12:06:48,Fondo de inversión,Intereses,,Rendimientos,34100,Ingreso,,34100.0,COP,34100
25/08/2026 18:43:23,Efectivo,Variables,Comer afuera,Comida con amigos,34900,Gasto,,34900.0,COP,34900
24/08/2026 10:51:03,Efectivo,Variables,Salud,Cita médica,139000,Gasto,,139000.0,COP,139000
23/08/2026 18:24:57,Billetera digital,Variables,Transporte,Gasolina,62400,Gasto,,62400.0,COP,62400
22/08/2026 15:55:29,Banco Principal,Variables,Hogar,Detergente,93800,Gasto,,93800.0,COP,93800
20/08/2026 14:49:12,Banco Principal,Fijos,Impuestos,Declaración de renta,620000,Gasto,,620000.0,COP,620000
18/08/2026 10:31:05,Banco Principal,Fondo de inversión,,Prima a inversión,,Dinero gastado,,3.4E7,COP,34000000
16/08/2026 19:30:43,Banco Principal,Efectivo,,Retiro cajero,200000,Dinero gastado,,200000.0,COP,200000
15/08/2026 13:46:19,Banco Principal,Fondo de inversión,,Ahorro mensual,800000,Dinero gastado,,800000.0,COP,800000
15/08/2026 09:26:00,Banco Principal,Tarjeta Visa,,Pago tarjeta,846400,Dinero gastado,,846400.0,COP,846400
14/08/2026 15:22:37,Tarjeta Visa,Fijos,Seguros,Seguro de salud,210000,Gasto,,210000.0,COP,210000
13/08/2026 18:05:55,Banco Principal,Variables,Comer afuera,Hamburguesa,85800,Gasto,,85800.0,COP,85800
12/08/2026 16:36:48,Tarjeta Visa,Variables,Personal,Libros,172800,Gasto,,172800.0,COP,172800
12/08/2026 09:13:04,Banco Principal,Fijos,Servicios,Internet,95000,Gasto,,95000.0,COP,95000
11/08/2026 09:04:29,Billetera digital,Variables,Transporte,Taxi,14100,Gasto,,14100.0,COP,14100
10/08/2026 15:46:19,Banco Principal,Fijos,Servicios,Energía y agua,253200,Gasto,,253200.0,COP,253200
05/08/2026 11:31:51,Efectivo,Variables,Transporte,Gasolina,26100,Gasto,,26100.0,COP,26100
05/08/2026 10:24:31,Banco Principal,Fijos,Arriendo,Arriendo apartamento,1800000,Gasto,,1800000.0,COP,1800000
01/08/2026 19:09:04,Banco Principal,Salario,,Salario,6500000,Ingreso,,6500000.0,COP,6500000
01/08/2026 13:58:01,Efectivo,Variables,Transporte,Taxi,45000,Gasto,,45000.0,COP,45000
28/07/2026 18:54:16,Fondo de inversión,Intereses,,Rendimientos,35300,Ingreso,,35300.0,COP,35300
27/07/2026 14:52:10,Tarjeta Visa,Variables,Transporte,Parqueadero,26200,Gasto,,26200.0,COP,26200
27/07/2026 09:01:40,Banco Principal,Variables,Personal,Libros,134200,Gasto,,134200.0,COP,134200
26/07/2026 14:06:23,Tarjeta Visa,Variables,Vida social,Cumpleaños,175500,Gasto,,175500.0,COP,175500
24/07/2026 18:28:15,Efectivo,Variables,Vida social,Concierto,47300,Gasto,,47300.0,COP,47300
16/07/2026 19:55:58,Banco Principal,Variables,Transporte,Gasolina,37000,Gasto,,37000.0,COP,37000
16/07/2026 11:49:13,Banco Principal,Efectivo,,Retiro cajero,200000,Dinero gastado,,200000.0,COP,200000
15/07/2026 19:27:15,Banco Principal,Tarjeta Visa,,Pago tarjeta,958600,Dinero gastado,,958600.0,COP,958600
15/07/2026 09:38:47,Banco Principal,Fondo de inversión,,Ahorro mensual,800000,Dinero gastado,,800000.0,COP,800000
14/07/2026 10:32:31,Tarjeta Visa,Fijos,Seguros,Seguro de salud,210000,Gasto,,210000.0,COP,210000
12/07/2026 17:03:22,Banco Principal,Fijos,Servicios,Internet,95000,Gasto,,95000.0,COP,95000
10/07/2026 10:41:27,Banco Principal,Fijos,Servicios,Energía y agua,245200,Gasto,,245200.0,COP,245200
06/07/2026 10:04:36,Tarjeta Visa,Variables,Hogar,Ferretería,102800,Gasto,,102800.0,COP,102800
05/07/2026 11:09:59,Banco Principal,Fijos,Arriendo,Arriendo apartamento,1800000,Gasto,,1800000.0,COP,1800000
04/07/2026 18:29:36,Efectivo,Variables,Transporte,Taxi,91400,Gasto,,91400.0,COP,91400
01/07/2026 17:29:54,Efectivo,Variables,Vida social,Cine,119100,Gasto,,119100.0,COP,119100
01/07/2026 16:44:31,Banco Principal,Salario,,Salario,6500000,Ingreso,,6500000.0,COP,6500000
01/07/2026 15:18:07,Tarjeta Visa,Variables,Comer afuera,Comida con amigos,93400,Gasto,,93400.0,COP,93400
28/06/2026 18:54:50,Fondo de inversión,Intereses,,Rendimientos,33800,Ingreso,,33800.0,COP,33800
26/06/2026 14:56:00,Efectivo,Variables,Salud,Cita médica,56000,Gasto,,56000.0,COP,56000
24/06/2026 16:36:53,Tarjeta Visa,Variables,Mercado,Panadería,38700,Gasto,,38700.0,COP,38700
23/06/2026 12:30:54,Tarjeta Visa,Variables,Transporte,Gasolina,84400,Gasto,,84400.0,COP,84400
19/06/2026 18:45:33,Tarjeta Visa,Variables,Mercado,"Mercado, aseo",153000,Gasto,,153000.0,COP,153000
19/06/2026 09:12:51,Tarjeta Visa,Variables,Transporte,Parqueadero,75900,Gasto,,75900.0,COP,75900
18/06/2026 10:47:51,Billetera digital,Variables,Viajes,"Tiquetes, hotel",1250000,Gasto,,1250000.0,COP,1250000
16/06/2026 18:57:46,Banco Principal,Efectivo,,Retiro cajero,200000,Dinero gastado,,200000.0,COP,200000
